LG2814,LARGS NORTH TWO EIGHT ONE FOUR
LGS281,LARGS NORTH TWO EIGHT ONE
LGS2814,LARGS NORTH TWO EIGHT ONE FOUR
LIGG36,ROSEWORTHY C F S
LIGGC1,ROSEWORTHY C F S
LINC14,LINCOLN C F S
LINC28,LINCOLN C F S
LINC42,LINCOLN C F S
LINV24,LOWER INMAN VALLEY C F S
LINV34,LOWER INMAN VALLEY C F S
LINVQRV,LOWER INMAN VALLEY C F S
LOBE19,LOBETHAL C F S
LOBE24P,LOBETHAL C F S
LOBE34,LOBETHAL C F S
LOCK34,LOCK C F S
LOX20,LOXTON S E S
LOX29,LOXTON S E S
LOX628,LOXTON M F S
LPSN24,LIPSON C F S
LTHT24,LITTLEHAMPTON C F S
LTHT24P,LITTLEHAMPTON C F S
LUCD19,LUCINDALE C F S
LUCD34,LUCINDALE C F S
LUCD42,LUCINDALE C F S
LUCG36,LUCINDALE C F S
LUCG42,LUCINDALE C F S
LUCGC1,LUCINDALE C F S
LUCGC2,LUCINDALE C F S
LYND24,LYNDOCH C F S
LYND34P,LYNDOCH C F S
LYRP34,LYRUP C F S
MAAP34,MAAOUPE C F S
MACC14,MACCLESFIELD C F S
MACC34,MACCLESFIELD C F S
MACC42,MACCLESFIELD C F S
MALG42,KAROONDA C F S
MALGC1,KAROONDA C F S
MALL22,MALLALA C F S
MALL34,MALLALA C F S
MAMB14,MAMBRAY CREEK C F S
MANG34,MANGALO C F S
MANR24,MANOORA C F S
MARC34,MARCOLLAT C F S
MAWG42,MORPHETT VALE C F S
MAWGC1,MORPHETT VALE C F S
MAWGC2,MORPHETT VALE C F S
MAWGC3,MORPHETT VALE C F S
MBEN24,MOUNT BENSON C F S
MBKR24,MOUNT BARKER C F S
MBKR34P,MOUNT BARKER C F S
MBKRPUMP19,MOUNT BARKER C F S
MBR721,MURRAY BRIDGE M F S
MBR722,MURRAY BRIDGE M F S
MBRR34,MOUNT BURR C F S
MBYN34,MOUNT BRYAN C F S
MCCA24,MCCALLUM C F S
MCLF00,ME CLAREN FLAT C F S
MCLF34,MCLAREN FLAT C F S
MCLV00,ME CLAREN VALE C F S
MCLV24P,MCLAREN VALE C F S
MCLV34,MCLAREN VALE C F S
MCMP19,MOUNT COMPASS C F S
MCMP34,MOUNT COMPASS C F S
MDAM34,MOUNT DAMPER C F S
MDDL24,MIDDLETON C F S
MDWS19,MEADOWS C F S
MDWS24,MEADOWS C F S
MELGC1,MELROSE C F S
MELR34,MELROSE C F S
MEN20,MENINGIE S E S
MEN29,MENINGIE S E S
MENG24,MENINGIE C F S
MENG34P,MENINGIE C F S
MET20,METRO SOUTH S E S
MGHM34,MOUNT GRAHAM C F S
MGMG42,YAHL C F S
MGMGC1,YAHL C F S
MGMGC2,YAHL C F S
MHPE34,MOUNT HOPE C F S
MIL20,MILLICENT S E S
MIL29,MILLICENT S E S
MILL24P,MILLICENT C F S
MILL34P,MILLICENT C F S
MILLPUMP19,MILLICENT C F S
MIN20,MINTABIE S E S
MIN29,MINTABIE S E S
MINL34,MINLATON C F S
MLD20,MAITLAND S E S
MLD29,MAITLAND S E S
MLEL24,MILLEL C F S
MLNG24,MILANG C F S
MMRG36,WAIKERIE C F S
MMRGC1,WAIKERIE C F S
MMTY34,MOUNT MCINTYRE C F S
MNBL24,MONBULLA C F S
MNDL24,MUNDULLA C F S
MNDR24,MUNDOORA C F S
MNNM19,MANNUM C F S
MNNM24,MANNUM C F S
MNPA24,MINNIPA C F S
MNRT34P,MONARTO C F S
MNSH34,MONASH C F S
MNSHQRV,MONASH C F S
MNT681,MOONTA M F S
MNT6814,MOONTA M F S
MNTB14,MINTABIE C F S
MNTB24,MINTABIE C F S
MNTR34,MINTARO C F S
MONT24,MONTACUTE C F S
MONTQRV,MONTACUTE C F S
MORK34,MOOROOK C F S
MPLT19,MOUNT PLEASANT C F S
MPLT24,MOUNT PLEASANT C F S
MRAK34,MOORAK C F S
MRB20,MURRAY BRIDGE S E S
MRB29,MURRAY BRIDGE S E S
MRBL24,MARRABEL C F S
MREE19,MARREE C F S
MRGN19,MORGAN C F S
MRGNQRV,MORGAN C F S
MRLA34,MARLA C F S
MRMG36,MELROSE C F S
MRMG42,MELROSE C F S
MRNB34,MARION BAY C F S
MRPH00,MORPHETT VALE C F S
MRPH24,MORPHETT VALE C F S
MRPHPUMP,MORPHETT VALE C F S
MRPHQRV,MORPHETT VALE C F S
MSCH24,MOUNT SCHANK C F S
MTB20,MOUNT BARKER S E S
MTG20,MOUNT GAMBIER S E S
MTG29,MOUNT GAMBIER S E S
MTG7014,MOUNT GAMBIER M F S
MTG702,MOUNT GAMBIER M F S
MTG703,MOUNT GAMBIER M F S
MTG709,MOUNT GAMBIER M F S
MTLD34,MAITLAND C F S
MTLDA34,MAITLAND C F S
MTLG42,BRIDGEWATER C F S
MTLGC1,BRIDGEWATER C F S
MTLGC2,BRIDGEWATER C F S
MTLGC3,BRIDGEWATER C F S
MTMP24,MOUNT TEMPLETON C F S
MTOR24,MOUNT TORRENS C F S
MUDL24,MUDLA WIRRA C F S
MUNG42,GOOLWA C F S
MUNGC1,GOOLWA C F S
MUNGC2,GOOLWA C F S
MURD24,MURDINGA C F S
MURR14,MURRAY BRIDGE C F S
MURR24P,MURRAY BRIDGE C F S
MURRPUMP28,MURRAY BRIDGE C F S
MWDG24,MOUNT WEDGE C F S
MYLR14,MYLOR C F S
MYLR24,MYLOR C F S
MYPL24,MYPOLONGA C F S
MYPN14,MYPONGA  DISTRICT C F S
MYPN24,MYPONGA  DISTRICT C F S
NAIR24,NAIRNE C F S
NAIR24P,NAIRNE C F S
NANG34,NANGWARRY C F S
NANT24,NANTAWARRA C F S
NAPP34,NAPPERBY C F S
NARGC1,NARACOORTE C F S
NARGC2,NARACOORTE C F S
NBAG36,ANGASTON C F S
NBAGC1,ANGASTON C F S
NEAL14,NEALES FLAT C F S
NEPA24,NEPABUNNA C F S
NETH24,NETHERTON C F S
NOA029,NOARLUNGA S E S
NOA20,NOARLUNGA S E S
NORT34P,NORTON SUMMIT / ASHTON C F S
NORT42,NORTON SUMMIT / ASHTON C F S
NORTQRV,NORTON SUMMIT / ASHTON C F S
NRCT19,NARACOORTE C F S
NRCT34P,NARACOORTE C F S
NRCTPUMP28,NARACOORTE C F S
NRRD24,NARRIDY C F S
NRRG24,NARRUNG C F S
NSHD34P,NORTH SHIELDS C F S
NTPA24,NURIOOTPA C F S
NTPA28,NURIOOTPA C F S
NTPAPUMP19,NURIOOTPA C F S
NUL20,NULLARBOR S E S
NYPG36,KADINA C F S
NYPGC1,KADINA C F S
OAK301,OAKDEN THREE ZERO ONE
OAK302,OAKDEN M F S
OAK303,OAKDEN THREE ZERO THREE
OAK311,GOLDEN GROVE THREE ONE ONE
OAKB14,OAKBANK / BALHANNAH C F S
OAKB28,OAKBANK / BALHANNAH C F S
OAKB34,OAKBANK / BALHANNAH C F S
OAKB34P,OAKBANK BALHANNAH C F S
OHH421,OHALLARAN HILL FOUR TWO ONE
OHH429,OH HALLORAN HILL FOUR TWO NINE
OLO20,ONKAPARINGA LOBETHAL S E S
OLO29,ONKAPARINGA LOBETHAL S E S
ONKG36,WOODSIDE C F S
ONKG42,WOODSIDE C F S
ONKGC1,WOODSIDE C F S
OODN24,OODNADATTA C F S
ORRO19,ORROROO C F S
